Effective date ,S&P Cryptocurrency Broad Digital Market Index (USD)
5/9/22,2701.78
5/10/22,2752.37
5/11/22,2422.63
5/12/22,2311.9
5/13/22,2465.25
5/16/22,2434.01
5/17/22,2473.47
5/18/22,2392.63
5/19/22,2424.63
5/20/22,2383.91
5/23/22,2389.47
5/24/22,2390.17
5/25/22,2395.82
5/26/22,2314.73
5/27/22,2253.12
5/30/22,2427.78
5/31/22,2485.22
6/1/22,2354.45
6/2/22,2367.12
6/3/22,2294.13
6/6/22,2429
6/7/22,2403
6/8/22,2338.02
6/9/22,2328.77
6/10/22,2224.79
6/13/22,1744.36
6/14/22,1694.57
6/15/22,1671.8
6/16/22,1600.73
6/17/22,1584.31
6/20/22,1586.57
6/21/22,1644.25
6/22/22,1586.84
6/23/22,1655.08
6/24/22,1724.55
6/27/22,1682.45
6/28/22,1630.95
6/29/22,1609.4
6/30/22,1504.09
7/1/22,1547.22
7/4/22,1594.63
7/5/22,1629.38
7/6/22,1633.51
7/7/22,1746.46
7/8/22,1736.98
7/11/22,1632.7
7/12/22,1535.01
7/13/22,1560.82
7/14/22,1659.17
7/15/22,1716.13
7/18/22,1818.62
7/19/22,1954.5
7/20/22,1950.36
7/21/22,1938.43
7/22/22,1883.52
7/25/22,1827.66
7/26/22,1727.22
7/27/22,1916.27
7/28/22,2028.53
7/29/22,2044.99
8/1/22,1963.49
8/2/22,1965.86
8/3/22,2010.91
8/4/22,1940.81
8/5/22,2004.52
8/8/22,2103.28
8/9/22,2016.83
8/10/22,2100.51
8/11/22,2154.44
8/12/22,2166.46
8/15/22,2136.27
8/16/22,2127.63
8/17/22,2071.49
8/18/22,2076.92
8/19/22,1890.82
8/22/22,1833.97
8/23/22,1893.3
8/24/22,1915.06
8/25/22,1919.91
8/26/22,1805.08
8/29/22,1766.45
8/30/22,1762.33
8/31/22,1788.02
9/1/22,1764.77
9/2/22,1766.84
9/5/22,1771.81
9/6/22,1711.48
9/7/22,1726.43
9/8/22,1781.98
9/9/22,1904.18
9/12/22,1961.44
9/13/22,1802.49
9/14/22,1782.99
